,Status,MARCField,MARCFieldLabel,MARCInd1Label,MARCInd1Value,MARCInd1ValueLabel,MARCInd2Label,MARCInd2Value,MARCInd2ValueLabel,CharacterPosition,CharacterPositionLabel,MARCSubfield,MARCSubfieldLabel,CodeValue,CodeValueLabel,MARCTagCondition1,Condition1Values,MARCTagCondition2,Condition2Values,RDA Registry URI,RDA Registry Label,Recording Method,Justification for Mapping,Transformation Notes,Problems with Mapping,Notes (Uncategorized),Unnamed: 26,Unnamed: 27,Unnamed: 28
10,done,751,ADDED ENTRY--GEOGRAPHIC NAME (R),Type of personal name entry element,0|1,,Undefined,*,,,,"$1, $2, $a, $g",,,,non-approved $1|$2 OR no $1,,4|e,"""prp""|production",http://rdaregistry.info/Elements/m/P30086,has place of production,IRI,,"[manifestationIRI] rdam:P30086 has place of production [placeIRI]
[placeIRI] rdap:P70019 has appellation of place [placeNomen]

[placeNomen] rdan:P80068 has nomen string [value of a]

if $2: [placeNomen] rdan:P80069 has scheme of nomen [value of $2]

[placeIRI] rdap:P7022 has note on place ""value of $g""",,,,,
11,done,751,ADDED ENTRY--GEOGRAPHIC NAME (R),Type of personal name entry element,0|1,,Undefined,*,,,,"$1, $2, $a, $g",,,,non-approved $1|$2 OR no $1,,4|e,"""pup""|publication",http://rdaregistry.info/Elements/m/P30088,has place of publication,IRI,,"[manifestationIRI] rdam:P30088 has place of publication [placeIRI]
[placeIRI] rdap:P70019 has appellation of place [placeNomen]

[placeNomen] rdan:P80068 has nomen string [value of a]

if $2: [placeNomen] rdan:P80069 has scheme of nomen [value of $2]

[placeIRI] rdap:P7022 has note on place ""value of $g""",,,,,
12,done,751,ADDED ENTRY--GEOGRAPHIC NAME (R),Undefined,*,,Undefined,*,,,,0,Authority record control number or standard number (R),,,$e,contains(work),approved $2,not($1),http://rdaregistry.info/Elements/w/P10316,has related place of work,IRI,,"<entity> rdawo:P10316 <Place>
<Place> rdapo:P70045 .// has authorized access point for place
<Nomen> rdand:P80068 ""$0 value"" //has nomen string
<Nomen> rdan:P80069 
<scheme> $2 value .// has scheme of nomen

If $2 has approved source, use rdapo:P70045 .// has authorized access point for place. If unapproved use rdapo:P70018 .// has access point for place -CEY 2025-04-03",,,,,
13,done,751,ADDED ENTRY--GEOGRAPHIC NAME (R),Undefined,*,,Undefined,*,,,,0,Authority record control number or standard number (R),,,$e,contains(capture),approved $2,not($1),http://rdaregistry.info/Elements/e/P20218,has place of capture,IRI,,"<entity> rdaeo:P20218 <Place>
<Place> rdapo:P70045 .// has authorized access point for place
<Nomen> rdand:P80068 ""$0 value"" //has nomen string
<Nomen> rdan:P80069 
<scheme> $2 value .// has scheme of nomen

If $2 has approved source, use rdapo:P70045 .// has authorized access point for place. If unapproved use rdapo:P70018 .// has access point for place -CEY 2025-04-03",,,,,
14,done,751,ADDED ENTRY--GEOGRAPHIC NAME (R),Undefined,*,,Undefined,*,,,,0,Authority record control number or standard number (R),,,$e,contains(expression),approved $2,not($1),http://rdaregistry.info/Elements/e/P20306,has related place of expression,IRI,,"<entity> rdaeo:P20306 <Place>
<Place> rdapo:P70045 .// has authorized access point for place
<Nomen> rdand:P80068 ""$0 value"" //has nomen string
<Nomen> rdan:P80069 
<scheme> $2 value .// has scheme of nomen

If $2 has approved source, use rdapo:P70045 .// has authorized access point for place. If unapproved use rdapo:P70018 .// has access point for place -CEY 2025-04-03",,,,,
15,done,751,ADDED ENTRY--GEOGRAPHIC NAME (R),Undefined,*,,Undefined,*,,,,0,Authority record control number or standard number (R),,,$e,contains(manifestation),approved $2,not($1),http://rdaregistry.info/Elements/m/P30272,has related place of manifestation,IRI,,"<entity> rdamo:P30272 <Place>
<Place> rdapo:P70045 .// has authorized access point for place
<Nomen> rdand:P80068 ""$0 value"" //has nomen string
<Nomen> rdan:P80069 
<scheme> $2 value .// has scheme of nomen

If $2 has approved source, use rdapo:P70045 .// has authorized access point for place. If unapproved use rdapo:P70018 .// has access point for place -CEY 2025-04-03",,,,,
16,done,751,ADDED ENTRY--GEOGRAPHIC NAME (R),Undefined,*,,Undefined,*,,,,1,Real World Object URI (R),,,$e,contains(work),approved $1|$2,,http://rdaregistry.info/Elements/w/P10316,has related place of work,IRI,,"<entity> rdawo:P10316 <$1>
<$1> nomen property <nomenIRI>
<nomenIRI> rdan:P80068 stripEndStop($a)” . // has nomen string
<nomenIRI> rdan:P80069 <scheme> .// has scheme of nomen

If $2 is approved source, use rdapo:P70045 .// has authorized access point for place. If unapproved use rdapo:P70018 .// has access point for place
- CEY 2025-04-03",,,,,
17,done,751,ADDED ENTRY--GEOGRAPHIC NAME (R),Undefined,*,,Undefined,*,,,,1,Real World Object URI (R),,,$e,contains(capture),approved $1|$2,,http://rdaregistry.info/Elements/e/P20218,has place of capture,IRI,,"<entity> rdaeo:P20218 <$1>
<$1> nomen property <nomenIRI>
<nomenIRI> rdan:P80068 stripEndStop($a)” . // has nomen string
<nomenIRI> rdan:P80069 <scheme> .// has scheme of nomen

If $2 is approved source, use rdapo:P70045 .// has authorized access point for place. If unapproved use rdapo:P70018 .// has access point for place
- CEY 2025-04-03",,,,,
18,done,751,ADDED ENTRY--GEOGRAPHIC NAME (R),Undefined,*,,Undefined,*,,,,1,Real World Object URI (R),,,$e,contains(expression),approved $1|$2,,http://rdaregistry.info/Elements/e/P20306,has related place of expression,IRI,,"<entity> rdaeo:P20306 <$1>
<$1> nomen property <nomenIRI>
<nomenIRI> rdan:P80068 stripEndStop($a)” . // has nomen string
<nomenIRI> rdan:P80069 <scheme> .// has scheme of nomen

If $2 is approved source, use rdapo:P70045 .// has authorized access point for place. If unapproved use rdapo:P70018 .// has access point for place
- CEY 2025-04-03",,,,,
19,done,751,ADDED ENTRY--GEOGRAPHIC NAME (R),Undefined,*,,Undefined,*,,,,1,Real World Object URI (R),,,$e,contains(manifestation),approved $1|$2,,http://rdaregistry.info/Elements/m/P30272,has related place of manifestation,IRI,,"<entity> property from spreadsheet <$1>
<$1> nomen property <nomenIRI>
<nomenIRI> rdan:P80068 stripEndStop($a)” . // has nomen string
<nomenIRI> rdan:P80069 <scheme> .// has scheme of nomen

If $2 is approved source, use rdapo:P70045 .// has authorized access point for place. If unapproved use rdapo:P70018 .// has access point for place
- CEY 2025-04-03",,,,,
20,reviewed,751,ADDED ENTRY--GEOGRAPHIC NAME (R),Undefined,*,,Undefined,*,,,,1,Real World Object URI (R),,,$e,!contains(work|capture|expression|manifestation),approved $1|$2,,http://rdaregistry.info/Elements/m/P30272,has related place of manifestation,IRI,,"<entity> property from spreadsheet <$1>
<$1> nomen property <nomenIRI>
<nomenIRI> rdan:P80068 stripEndStop($a)” . // has nomen string
<nomenIRI> rdan:P80069 <scheme> .// has scheme of nomen

If $2 is approved source, use rdapo:P70045 .// has authorized access point for place. If unapproved use rdapo:P70018 .// has access point for place
- CEY 2025-04-03",,,,,
21,done,751,ADDED ENTRY--GEOGRAPHIC NAME (R),Undefined,#,Undefined,Undefined,#,Undefined,,,6,Linkage (NR),,,,,,,,,,See decision: https://github.com/uwlib-cams/MARC2RDA/wiki/Decisions-Index#iig-6,script identification code,,,,,
