,Status,MARCField,MARCFieldLabel,MARCInd1Label,MARCInd1Value,MARCInd1ValueLabel,MARCInd2Label,MARCInd2Value,MARCInd2ValueLabel,CharacterPosition,CharacterPositionLabel,MARCSubfield,MARCSubfieldLabel,CodeValue,CodeValueLabel,MARCTagCondition1,Condition1Values,MARCTagCondition2,Condition2Values,MARCTagCondition3,Condition3Values,MARCTagCondition4,RDA Registry URI,RDA Registry Label, ,Justification for Mapping,Transformation Notes,Problems with Mapping,Notes (Uncategorized)
13,done,100,MAIN ENTRY--PERSONAL NAME (NR),Type of personal name entry element,3,,Undefined,*,,,,$0, ,,,$e or $4 is provided and maps to any RDA URI from the Agent Relator Transformation Table,Agent Relator Table,$0 type is right and no $1,,$2, ,,RDA URI in table,RDA element in table,IRI, ,"<entity> property from table <converted $0>
<converted $0> nomen property <nomenIRI>
<nomenIRI> rdan:P80068 stripEndStop(concatenateOA($a, $b, $c, $d, $g, $j, $q $u))” . // has nomen string
<nomenIRI> rdan:P80069 <scheme> .// has scheme of nomen

If $2 is approved source, use rdaao:P50409 .// has authorized access point for family. If unapproved use rdaao:P50376 .// has access point for family
- CP 2024-12-12",, 
14,done,100,MAIN ENTRY--PERSONAL NAME (NR),Type of personal name entry element,3,,Undefined,*,,,,$0, ,,,$e or $4 is provided and maps to any RDA URI from the Agent Relator Transformation Table,Agent Relator Table,$0 type is right and no $1,,no $2, ,,RDA URI in table,RDA element in table,IRI, ,"<entity> property from table <converted $0>
<converted $0> rdaad:P50376 stripEndStop(concatenateOA($a, $b, $c, $d, $g, $j, $q $u))” . // has access point for family
- CP 2024-12-12",, 
15,done,100,MAIN ENTRY--PERSONAL NAME (NR),Type of personal name entry element,3,,Undefined,*,,,,$0,,,,$e and $4 are not provided or are provided with a value that does not map to any RDA URI from the Agent Relator Transformation Table,,$0 type is right and no $1,,$2,,,https://www.rdaregistry.info/Elements/w/object/#P10313,has related family of work ,IRI, ,"<work> rdawo:P10313 <converted $0> . // has related family of work
<converted $0> nomen property <nomenIRI>
<nomenIRI> rdan:P80068 stripEndStop(concatenateOA($a, $b, $c, $d, $g, $j, $q $u))” . // has nomen string
<nomenIRI> rdan:P80069 <scheme> .// has scheme of nomen

If $2 is approved source, use rdaao:P50409 .// has authorized access point for family. If unapproved use rdaao:P50376 .// has access point for family
- CP 2024-12-12",,
16,done,100,MAIN ENTRY--PERSONAL NAME (NR),Type of personal name entry element,3,,Undefined,*,,,,$0,,,,$e and $4 are not provided or are provided with a value that does not map to any RDA URI from the Agent Relator Transformation Table,,$0 type is right and no $1,,no $2,,,https://www.rdaregistry.info/Elements/w/object/#P10313,has related family of work ,IRI, ,"<work> rdawo:P10313 <converted $0> . //has related family of work
<converted $0> rdaad:P50376 stripEndStop(concatenateOA($a, $b, $c, $d, $g, $j, $q $u))” . // has access point for family
- CP 2024-12-12",,
17,done,100,,,3,,,,,,,$0|$1,,,,$0 and $1 type is unapproved,,,,,,,http://rdaregistry.info/Elements/a/P50052,has identifier for family,structured description,,"<familyIRI> rdawd:P50052 ""$0 or $1 value"". // has identifier for family",,
18,done,100,MAIN ENTRY--PERSONAL NAME (NR),Type of personal name entry element,0|1,,Undefined,*,,,,"a, b, c, d, g, q, u", ,,,$e or $4 is provided and maps to any RDA URI from the Agent Relator Transformation Table,Agent Relator Table,no $1 or $0 that can be converted into a rwo uri,,$2,,,RDA URI in table,RDA element in table,structured , ,"<entity> property from table <personIRI>
<personIRI> nomen property <nomenP>
<nomenP> rdand:P80068 “stripEndStop(concatenateOA($a, $b, $c, $d, $g, $j, $q $u))” . // has nomen string; OA = in order of appearance
<nomenP> rdano:P80069 <tScheme(2nd indicator or $2)> . // has scheme of nomen

If $2 is approved source, use rdaao:P50411 .// has authorized access point for person. If unapproved use rdaao:P50377 .// has access point for person
- CP 2024-12-12", , 
19,done,100,MAIN ENTRY--PERSONAL NAME (NR),Type of personal name entry element,0|1,,Undefined,*,,,,"a, b, c, d, g, q, u", ,,,$e or $4 is provided and maps to any RDA URI from the Agent Relator Transformation Table,Agent Relator Table,no $1 or $0 that can be converted into a rwo uri,,no $2,,,RDA URI in table,RDA element in table,structured , ,"<entity> property from table <personIRI>
<personIRI> rdaad:P50377 ""stripEndStop(concatenateOA($a, $b, $c, $d, $g, $j, $q $u))"" . // has access point for person",, 
20,done,100,MAIN ENTRY--PERSONAL NAME (NR),Type of personal name entry element,0|1,,Undefined,*,,,,"a, b, c, d, g, q, u",,,,$e and $4 are not provided or are provided with a value that does not map to any RDA URI from the Agent Relator Transformation Table,,no $1 or $0 that can be converted into a rwo uri,,$2,,,https://www.rdaregistry.info/Elements/w/object/#P10312,has related person of work ,structured ,"If we do not have a Relator value that maps to an RDA URI (see the bullet point above), we cannot assume that the agent described by an Agent Main entry field is related to a work; it could be related to an expression (e.g., a performer); it should not be related to a manifestation or an item. Therefore, we can use a Work relationship (A related agent of expression is also a related agent of the work that is realized by the expression as a shortcut that ignores the expression) ","<work> rdawo:P10312 <personIRI> .// has related person of work
<personIRI> nomen property <nomenP>
<nomenP> rdand:P80068 “stripEndStop(concatenateOA($a, $b, $c, $d, $g, $j, $q $u))” . // has nomen string; OA = in order of appearance
<nomenP> rdano:P80069 <tScheme(2nd indicator or $2)> . // has scheme of nomen

If $2 is approved source, use rdaao:P50411 .// has authorized access point for person. If unapproved use rdaao:P50377 .// has access point for person
- CP 2024-12-12",,
21,done,100,MAIN ENTRY--PERSONAL NAME (NR),Type of personal name entry element,0|1,,Undefined,*,,,,"a, b, c, d, g, q, u",,,,$e and $4 are not provided or are provided with a value that does not map to any RDA URI from the Agent Relator Transformation Table,,no $1 or $0 that can be converted into a rwo uri,,no $2,,,https://www.rdaregistry.info/Elements/w/object/#P10312,has related person of work ,structured ,,"<work> rdawo:P10312 <personIRI> .// has related person of work
<personIRI> rdaad:P50377 ""stripEndStop(concatenateOA($a, $b, $c, $d, $g, $j, $q $u))"" . // has access point for person",,
22,done,100,MAIN ENTRY--PERSONAL NAME (NR),Type of personal name entry element,3,,Undefined,*,,,,"a, b, c, d, g, q, u", ,,,$e or $4 is provided and maps to any RDA URI from the Agent Relator Transformation Table,Agent Relator Table,no $1 or $0 that can be converted into a rwo uri,,$2,,,RDA URI in table,RDA element in table,structured , ,"<entity> property from table <familyIRI> . // has subject family
<familyIRI> nomen property <nomenIRI>
<nomenIRI> rdan:P80068 stripEndStop(concatenateOA($a, $b, $c, $d, $g, $j, $q $u))” . // has nomen string
<nomenIRI> rdan:P80069 <scheme> .// has scheme of nomen

If $2 is approved source, use rdaao:P50409 .// has authorized access point for family. If unapproved use rdaao:P50376 .// has access point for family
- CP 2024-12-12",, 
23,done,100,MAIN ENTRY--PERSONAL NAME (NR),Type of personal name entry element,3,,Undefined,*,,,,"a, b, c, d, g, q, u", ,,,$e or $4 is provided and maps to any RDA URI from the Agent Relator Transformation Table,Agent Relator Table,no $1 or $0 that can be converted into a rwo uri,,no $2,,,RDA URI in table,RDA element in table,structured , ,"<entity> property from table <familyIRI>
<familyIRI> rdaad:P50376 stripEndStop(concatenateOA($a, $b, $c, $d, $g, $j, $q $u))” . // has access point for family
- CP 2024-12-12",, 
24,done,100,MAIN ENTRY--PERSONAL NAME (NR),Type of personal name entry element,3,,Undefined,*,,,,"a, b, c, d, g, q, u",,,,$e and $4 are not provided or are provided with a value that does not map to any RDA URI from the Agent Relator Transformation Table,,no $1 or $0 that can be converted into a rwo uri,,$2,,,https://www.rdaregistry.info/Elements/w/object/#P10313,has related family of work ,structured , ,"<work> rdawo:P10313 <familyIRI> .// has related family of work
<familyIRI> nomen property <nomenIRI>
<nomenIRI> rdan:P80068 stripEndStop(concatenateOA($a, $b, $c, $d, $g, $j, $q $u))” . // has nomen string
<nomenIRI> rdan:P80069 <scheme> .// has scheme of nomen

If $2 is approved source, use rdaao:P50409 .// has authorized access point for family. If unapproved use rdaao:P50376 .// has access point for family
- CP 2024-12-12",,
25,done,100,MAIN ENTRY--PERSONAL NAME (NR),Type of personal name entry element,3,,Undefined,*,,,,"a, b, c, d, g, q, u",,,,$e and $4 are not provided or are provided with a value that does not map to any RDA URI from the Agent Relator Transformation Table,,no $1 or $0 that can be converted into a rwo uri,,no $2,,,https://www.rdaregistry.info/Elements/w/object/#P10313,has related family of work ,structured , ,"<work> rdawo:P10313 <familyIRI> .// has related family of work
<familyIRI> rdaad:P50376 stripEndStop(concatenateOA($a, $b, $c, $d, $g, $j, $q $u))” . // has access point for family
- CP 2024-12-12",,
26,done,100,MAIN ENTRY--PERSONAL NAME (NR),Type of personal name entry element,*,,Undefined,*,,,,"a, b, c, d, g, q, u",,,,, ,,,,,,,,,,follow Headings Mapping table for relationships to person or family - CP 2024-12-12,,
27,done,100,MAIN ENTRY--CORPORATE NAME (NR),Type of corporate name entry element,*,,Undefined,,,,,6,,,,,,,,,,,,,,https://github.com/crystalyragui/MARC2RDA/wiki/Decisions-Index#iig-6,,,
